vidid	adview
VID_1054	1
VID_18629	1
VID_13967	1
VID_19442	1
VID_770		14
VID_10315	2
VID_7417	1
VID_17788	4
VID_14591	3
VID_1228	2
VID_10153	12
VID_5667	4
VID_22775	4
VID_8353	1
VID_486		1
VID_17460	2
VID_5867	4
VID_15951	2
VID_14890	5
VID_7219	7
VID_20045	429
VID_11874	6
VID_1208	20
VID_4529	1
VID_6793	1
VID_18254	1
VID_11155	2
VID_12257	4
VID_4207	2
VID_23276	1
VID_18261	27
VID_11536	3
VID_6429	13
VID_9277	1
VID_517		4
VID_11291	1
VID_11265	1
VID_632		1
VID_13587	3
VID_16439	2
VID_14888	5
VID_3207	276
VID_9352	1
VID_3286	102
VID_19592	1
VID_15582	31
VID_15269	453147
VID_5703	1
VID_22315	4
VID_14939	2
VID_18277	4
VID_1684	144
VID_14842	1
VID_635		1
VID_19621	1
VID_2006	7
VID_2427	2
VID_3232	4
VID_17944	2
VID_19507	1
VID_6745	6
VID_8446	1
VID_17593	5
VID_21611	1
VID_16242	1
VID_23409	1
VID_22950	2
VID_15401	1
VID_7634	3
VID_4283	4
VID_20020	3420
VID_13334	5
VID_17504	1
VID_22854	9
VID_4396	3
VID_7426	3
VID_1941	2
VID_22447	1
VID_13156	5
VID_6361	4
VID_1601	191
VID_5787	1
VID_15044	8
VID_18511	4
VID_17965	1
VID_20023	1
VID_20294	25
VID_4284	25
VID_6333	24
VID_4459	2
VID_7896	3
VID_14003	1
VID_22518	557
VID_12272	1
VID_1002	1
VID_2801	1
VID_85		8
VID_17535	5
VID_16710	19
VID_7899	2
VID_3336	3
VID_966		36
VID_15920	1
VID_9048	2
VID_10819	1
VID_9004	3
VID_8038	1
VID_22273	8
VID_9597	1
VID_405		1
VID_6857	5
VID_745		1
VID_22181	1
VID_2452	1
VID_16534	9
VID_8504	1
VID_6211	2
VID_7421	22
VID_19004	2
VID_21560	3464
VID_6904	1
VID_10068	15
VID_3831	65
VID_523		1
VID_21181	3
VID_9556	1
VID_1140	3
VID_18078	6
VID_13326	17655
VID_21883	3
VID_18044	3
VID_11715	1
VID_7741	1
VID_23167	1
VID_4147	1
VID_12377	52
